"car_name"|"car_mileage"|"car_transmission"|"car_location"|"car_price"|"car_instalment_mth_amt"
"2018 Mazda CX-5 SKYACTIV-G GLS 2.0"|"91,392 km"|"Automatic"|"Perak"|"95,800"|"RM 1,050/mo"
"2021 Honda HR-V i-VTEC V 1.8"|"40,356 km"|"Automatic"|"Selangor"|"91,000"|"RM 997/mo"
"2017 Proton Persona Standard 1.6"|"118,077 km"|"Automatic"|"Selangor"|"27,900"|"RM 306/mo"
"2022 Toyota Yaris G 1.5"|"30,333 km"|"Automatic"|"Selangor"|"74,000"|"RM 811/mo"
"2016 Proton Saga Standard 1.3"|"125,287 km"|"Automatic"|"Johor"|"21,800"|"RM 239/mo"
"2012 Toyota Vios J 1.5"|"97,362 km"|"Automatic"|"Selangor"|"25,800"|"RM 283/mo"
"2017 Honda Accord i-VTEC VTi-L 2.4"|"73,394 km"|"Automatic"|"Selangor"|"85,500"|"RM 937/mo"
"2014 Honda City E i-VTEC 1.5"|"175,481 km"|"Automatic"|"Melaka"|"32,800"|"RM 359/mo"
"2016 Perodua Bezza X Premium 1.3"|"114,594 km"|"Automatic"|"Selangor"|"32,800"|"RM 359/mo"
"2023 Perodua Ativa AV 1.0"|"15,885 km"|"Automatic"|"Pahang"|"68,000"|"RM 745/mo"
"2018 Proton Saga Standard 1.3"|"101,077 km"|"Automatic"|"Johor"|"26,800"|"RM 294/mo"
"2014 Honda Jazz i-VTEC 1.5"|"174,294 km"|"Automatic"|"Johor"|"33,400"|"RM 366/mo"
"2017 Proton Persona Premium 1.6"|"129,151 km"|"Automatic"|"Sarawak"|"26,600"|"RM 291/mo"
"2021 Honda City RS e-HEV 1.5"|"36,721 km"|"Automatic"|"Pulau Pinang"|"84,000"|"RM 920/mo"
"2013 Honda CR-V i-VTEC 2.0"|"169,705 km"|"Automatic"|"Negeri Sembilan"|"35,000"|"RM 384/mo"
"2019 Proton X70 TGDI Premium 1.8"|"56,142 km"|"Automatic"|"Perak"|"67,000"|"RM 734/mo"
"2018 Honda Jazz V i-VTEC 1.5"|"43,822 km"|"Automatic"|"Sabah"|"56,500"|"RM 619/mo"
"2019 Perodua Myvi H 1.5"|"94,158 km"|"Automatic"|"Pahang"|"43,800"|"RM 480/mo"
"2016 Honda City E i-VTEC 1.5"|"143,587 km"|"Automatic"|"Selangor"|"44,900"|"RM 492/mo"
"2018 Perodua Myvi AV 1.5"|"107,058 km"|"Automatic"|"Pulau Pinang"|"44,900"|"RM 492/mo"
"2021 Mitsubishi Triton VGT Dual Cab 2.4"|"18,542 km"|"Automatic"|"Selangor"|"85,000"|"RM 931/mo"
"2018 Honda City E i-VTEC 1.5"|"100,644 km"|"Automatic"|"Pulau Pinang"|"58,000"|"RM 636/mo"
"2017 Perodua Bezza X Premium 1.3"|"125,178 km"|"Automatic"|"Selangor"|"34,000"|"RM 373/mo"
"2011 Honda Civic S i-VTEC 1.8"|"209,711 km"|"Automatic"|"Selangor"|"28,600"|"RM 313/mo"
"2018 Proton Saga Standard 1.3"|"98,047 km"|"Automatic"|"Johor"|"26,800"|"RM 294/mo"
"2016 Honda Jazz S i-VTEC 1.5"|"126,357 km"|"Automatic"|"Selangor"|"48,000"|"RM 526/mo"
"2016 Honda Jazz E i-VTEC 1.5"|"112,985 km"|"Automatic"|"Johor"|"51,900"|"RM 569/mo"
"2012 Honda CR-V i-VTEC 2.0"|"160,318 km"|"Automatic"|"Selangor"|"28,500"|"RM 312/mo"
"2018 Perodua Myvi AV 1.5"|"96,280 km"|"Automatic"|"Johor"|"44,900"|"RM 492/mo"
"2019 Mazda CX-5 SKYACTIV-G GLS 2.0"|"109,453 km"|"Automatic"|"Pulau Pinang"|"109,800"|"RM 1,203/mo"
"2016 Perodua Bezza X Premium 1.3"|"115,576 km"|"Automatic"|"Johor"|"32,800"|"RM 359/mo"
"2022 Perodua Ativa AV 1.0"|"32,710 km"|"Automatic"|"Selangor"|"64,100"|"RM 702/mo"
"2015 Toyota Vios G 1.5"|"112,789 km"|"Automatic"|"Selangor"|"43,500"|"RM 477/mo"
"2017 Honda Accord i-VTEC VTi 2.0"|"129,204 km"|"Automatic"|"Selangor"|"73,200"|"RM 802/mo"
"2022 Volkswagen Arteon R-line 4MOTION Fastback 2.0"|"12,321 km"|"Automatic"|"Selangor"|"207,500"|"RM 2,274/mo"
"2018 Honda CR-V TC VTEC 1.5"|"90,234 km"|"Automatic"|"Perak"|"99,600"|"RM 1,091/mo"
"2019 Perodua Myvi AV 1.5"|"88,476 km"|"Automatic"|"Johor"|"46,900"|"RM 514/mo"
"2018 Honda City S i-VTEC 1.5"|"104,170 km"|"Automatic"|"Pulau Pinang"|"54,000"|"RM 592/mo"
"2015 Honda HR-V i-VTEC V 1.8"|"105,239 km"|"Automatic"|"Pulau Pinang"|"51,200"|"RM 561/mo"
"2019 Honda Jazz S i-VTEC 1.5"|"77,637 km"|"Automatic"|"Selangor"|"60,800"|"RM 666/mo"
"2017 Perodua Myvi Advance 1.5"|"82,284 km"|"Automatic"|"Perak"|"40,600"|"RM 445/mo"
"2014 Honda Accord i-VTEC VTi-L 2.0"|"188,722 km"|"Automatic"|"Negeri Sembilan"|"47,000"|"RM 515/mo"
