"car_name"|"car_mileage"|"car_transmission"|"car_location"|"car_price"|"car_instalment_mth_amt"
"2015 Nissan X-Trail2.0"|"101,097 km"|"Automatic"|"Sarawak"|"46,300"|"RM 507/mo"
"2018 Perodua Alza SE 1.5"|"59,637 km"|"Automatic"|"Sarawak"|"44,300"|"RM 485/mo"
"2008 Toyota Corolla Altis G 1.8"|"174,172 km"|"Automatic"|"Negeri Sembilan"|"23,000"|"RM 252/mo"
"2014 Honda City S+ i-VTEC 1.5"|"185,559 km"|"Automatic"|"Pahang"|"35,800"|"RM 392/mo"
"2016 Perodua Alza EZ 1.5"|"113,559 km"|"Automatic"|"Pulau Pinang"|"38,900"|"RM 426/mo"
"2022 Proton X50 TGDI Flagship 1.5"|"27,477 km"|"Automatic"|"Melaka"|"90,000"|"RM 986/mo"
"2019 Proton X70 TGDI Premium 1.8"|"73,516 km"|"Automatic"|"Pulau Pinang"|"68,400"|"RM 750/mo"
"2021 Toyota Yaris G 1.5"|"22,839 km"|"Automatic"|"Pahang"|"72,600"|"RM 796/mo"
"2015 Proton Iriz Executive 1.6"|"117,952 km"|"Automatic"|"Pahang"|"21,500"|"RM 236/mo"
"2012 Ford Fiesta Sapphire XTR 1.6"|"78,938 km"|"Automatic"|"Johor"|"15,000"|"RM 164/mo"
"2018 Proton Saga Executive 1.3"|"93,704 km"|"Automatic"|"Selangor"|"30,100"|"RM 330/mo"
"2021 Perodua AXIA SE 1.0"|"16,335 km"|"Automatic"|"Johor"|"39,400"|"RM 432/mo"
"2018 Perodua Myvi X 1.3"|"93,418 km"|"Automatic"|"Negeri Sembilan"|"40,600"|"RM 445/mo"
"2019 Toyota Yaris G 1.5"|"73,963 km"|"Automatic"|"Johor"|"67,000"|"RM 734/mo"
"2018 Perodua Myvi AV 1.5"|"83,136 km"|"Automatic"|"Pulau Pinang"|"46,000"|"RM 504/mo"
"2019 Perodua Bezza G 1.0"|"89,112 km"|"Automatic"|"Melaka"|"33,400"|"RM 366/mo"
"2021 Perodua Ativa AV 1.0"|"35,790 km"|"Automatic"|"Melaka"|"64,800"|"RM 710/mo"
"2015 Honda Jazz V i-VTEC 1.5"|"99,125 km"|"Automatic"|"Pulau Pinang"|"50,200"|"RM 550/mo"
"2019 Honda Civic TC VTEC 1.5"|"46,949 km"|"Automatic"|"Johor"|"97,900"|"RM 1,073/mo"
"2014 Perodua Alza SE 1.5"|"270,996 km"|"Manual"|"Negeri Sembilan"|"30,000"|"RM 329/mo"
"2016 Honda Jazz S i-VTEC 1.5"|"120,879 km"|"Automatic"|"Selangor"|"51,400"|"RM 563/mo"
"2018 Perodua AXIA SE 1.0"|"61,545 km"|"Automatic"|"Selangor"|"34,500"|"RM 378/mo"
"2019 Nissan Serena S-Hybrid High-Way Star Premium 2.0"|"67,671 km"|"Automatic"|"Perak"|"98,800"|"RM 1,083/mo"
"2020 Perodua AXIA SE 1.0"|"33,042 km"|"Automatic"|"Negeri Sembilan"|"37,000"|"RM 405/mo"
"2015 Nissan Almera VL 1.5"|"146,886 km"|"Automatic"|"Melaka"|"28,000"|"RM 307/mo"
"2014 Honda Jazz E i-VTEC 1.5"|"138,089 km"|"Automatic"|"Melaka"|"44,400"|"RM 487/mo"
"2011 Nissan Grand Livina Comfort 1.6"|"205,363 km"|"Automatic"|"Selangor"|"21,800"|"RM 239/mo"
"2014 Perodua AXIA G 1.0"|"181,914 km"|"Automatic"|"Kuala Lumpur"|"20,400"|"RM 224/mo"
"2020 Proton Saga Premium 1.3"|"50,981 km"|"Automatic"|"Kedah"|"34,800"|"RM 381/mo"
"2016 Toyota Sienta V 1.5"|"101,766 km"|"Automatic"|"Pulau Pinang"|"59,400"|"RM 651/mo"
"2021 Perodua Myvi AV 1.5"|"42,962 km"|"Automatic"|"Pulau Pinang"|"53,000"|"RM 581/mo"
"2020 Perodua Myvi X 1.3"|"37,782 km"|"Automatic"|"Selangor"|"46,500"|"RM 510/mo"
"2013 Perodua Myvi SE 1.5"|"201,360 km"|"Automatic"|"Kuala Lumpur"|"23,400"|"RM 256/mo"
"2016 Mazda CX-3 SKYACTIV 2.0"|"110,774 km"|"Automatic"|"Selangor"|"67,300"|"RM 737/mo"
"2019 BMW X3 xDrive30i Luxury 2.0"|"46,814 km"|"Automatic"|"Kuala Lumpur"|"173,500"|"RM 1,901/mo"
"2022 Toyota Corolla Cross V 1.8"|"33,019 km"|"Automatic"|"Selangor"|"117,800"|"RM 1,291/mo"
"2020 Mazda CX-5 SKYACTIV-G High 2.0"|"59,056 km"|"Automatic"|"Kuala Lumpur"|"119,500"|"RM 1,310/mo"
"2020 Perodua AXIA GXtra 1.0"|"53,371 km"|"Automatic"|"Selangor"|"34,700"|"RM 380/mo"
"2017 Honda Civic TC VTEC 1.5"|"110,776 km"|"Automatic"|"Selangor"|"85,000"|"RM 931/mo"
"2021 Proton X50 Premium 1.5"|"48,814 km"|"Automatic"|"Kuala Lumpur"|"80,800"|"RM 885/mo"
"2018 Perodua AXIA G 1.0"|"96,661 km"|"Automatic"|"Negeri Sembilan"|"31,100"|"RM 341/mo"
"2015 Perodua Myvi X 1.3"|"96,746 km"|"Automatic"|"Kuala Lumpur"|"28,500"|"RM 312/mo"
"2019 Perodua Myvi AV 1.5"|"76,003 km"|"Automatic"|"Selangor"|"48,600"|"RM 533/mo"
"2022 Honda City V i-VTEC 1.5"|"19,600 km"|"Automatic"|"Perak"|"82,000"|"RM 899/mo"
"2021 Perodua AXIA Advance 1.0"|"49,726 km"|"Automatic"|"Pahang"|"40,800"|"RM 447/mo"
"2022 Proton X50 TGDI Flagship 1.5"|"29,449 km"|"Automatic"|"Kuala Lumpur"|"91,400"|"RM 1,002/mo"
"2016 Mitsubishi ASX GL 2.0"|"125,048 km"|"Automatic"|"Selangor"|"46,500"|"RM 510/mo"
"2021 Perodua Ativa AV 1.0"|"31,289 km"|"Automatic"|"Selangor"|"64,000"|"RM 701/mo"
"2020 Perodua Aruz AV 1.5"|"37,053 km"|"Automatic"|"Pulau Pinang"|"61,400"|"RM 673/mo"
"2015 Honda HR-V i-VTEC E 1.8"|"44,848 km"|"Automatic"|"Selangor"|"49,800"|"RM 546/mo"
"2017 Honda Civic TC VTEC Premium 1.5"|"64,683 km"|"Automatic"|"Johor"|"90,300"|"RM 990/mo"
"2017 Mercedes-Benz GLA200 Urban Line 1.6"|"45,051 km"|"Automatic"|"Johor"|"116,000"|"RM 1,271/mo"
"2016 Perodua Bezza Advance Premium 1.3"|"60,179 km"|"Automatic"|"Kuala Lumpur"|"37,300"|"RM 409/mo"
"2022 Honda City E i-VTEC 1.5"|"39,344 km"|"Automatic"|"Selangor"|"76,000"|"RM 833/mo"
"2014 Perodua Alza SE 1.5"|"97,310 km"|"Automatic"|"Selangor"|"31,800"|"RM 348/mo"
"2015 Honda HR-V i-VTEC V 1.8"|"109,250 km"|"Automatic"|"Selangor"|"53,800"|"RM 590/mo"
"2018 Proton Saga Premium 1.3"|"95,144 km"|"Automatic"|"Negeri Sembilan"|"30,000"|"RM 329/mo"
"2017 Proton Saga Standard 1.3"|"106,373 km"|"Automatic"|"Selangor"|"27,100"|"RM 297/mo"
"2016 Toyota Vellfire Z G Edition 2.5"|"60,508 km"|"Automatic"|"Selangor"|"182,000"|"RM 1,994/mo"
"2018 Perodua Bezza G Standard 1.0"|"80,162 km"|"Automatic"|"Kuala Lumpur"|"32,300"|"RM 354/mo"
"2018 Perodua Myvi AV 1.5"|"65,477 km"|"Automatic"|"Selangor"|"46,000"|"RM 504/mo"
"2020 Perodua Aruz AV 1.5"|"22,475 km"|"Automatic"|"Perak"|"61,400"|"RM 673/mo"
"2012 Toyota Vios J 1.5"|"126,216 km"|"Automatic"|"Pulau Pinang"|"26,800"|"RM 294/mo"
"2020 Honda HR-V i-VTEC V 1.8"|"61,471 km"|"Automatic"|"Johor"|"87,500"|"RM 959/mo"
"2016 Honda Jazz E i-VTEC 1.5"|"109,272 km"|"Automatic"|"Selangor"|"53,100"|"RM 582/mo"
"2016 Mazda CX-3 SKYACTIV 2.0"|"124,338 km"|"Automatic"|"Selangor"|"67,000"|"RM 734/mo"
"2021 Proton X50 Premium 1.5"|"42,394 km"|"Automatic"|"Sarawak"|"77,000"|"RM 844/mo"
"2016 Mazda CX-5 SKYACTIV-G GLS 2.5"|"152,750 km"|"Automatic"|"Sabah"|"59,900"|"RM 656/mo"
"2015 Perodua AXIA Advance 1.0"|"83,246 km"|"Automatic"|"Pulau Pinang"|"25,000"|"RM 274/mo"
"2017 Proton Saga Standard 1.3"|"126,578 km"|"Automatic"|"Negeri Sembilan"|"26,400"|"RM 289/mo"
"2015 Honda CR-V i-VTEC 2.0"|"106,782 km"|"Automatic"|"Kuala Lumpur"|"58,800"|"RM 644/mo"
"2013 Inokom Elantra Premium 1.8"|"160,565 km"|"Automatic"|"Pahang"|"24,800"|"RM 272/mo"
"2016 Perodua Myvi Advance 1.5"|"152,725 km"|"Automatic"|"Johor"|"33,800"|"RM 370/mo"
"2017 Honda Jazz V i-VTEC 1.5"|"116,000 km"|"Automatic"|"Selangor"|"61,800"|"RM 677/mo"
"2022 Proton X50 TGDI Flagship 1.5"|"30,808 km"|"Automatic"|"Selangor"|"90,000"|"RM 986/mo"
"2017 Perodua Myvi AV 1.5"|"110,464 km"|"Automatic"|"Selangor"|"42,900"|"RM 470/mo"
"2014 Toyota Vios G 1.5"|"94,302 km"|"Automatic"|"Kuala Lumpur"|"41,900"|"RM 459/mo"
"2017 Honda City V i-VTEC 1.5"|"92,201 km"|"Automatic"|"Pahang"|"59,800"|"RM 655/mo"
"2020 Perodua AXIA Advance 1.0"|"54,641 km"|"Automatic"|"Pahang"|"39,800"|"RM 436/mo"
"2012 Nissan Almera VL 1.5"|"178,009 km"|"Automatic"|"Selangor"|"20,000"|"RM 219/mo"
"2016 Honda City V i-VTEC 1.5"|"67,221 km"|"Automatic"|"Kuala Lumpur"|"50,400"|"RM 552/mo"
"2020 Perodua AXIA GXtra 1.0"|"41,391 km"|"Automatic"|"Selangor"|"34,700"|"RM 380/mo"
"2016 Toyota Vios TRD Sportivo 1.5"|"112,983 km"|"Automatic"|"Johor"|"52,900"|"RM 580/mo"
"2024 Neta V"|"1 km"|"Automatic"|"Selangor"|"76,700"|"RM 841/mo"
"2016 Honda Jazz E i-VTEC 1.5"|"109,997 km"|"Automatic"|"Negeri Sembilan"|"53,100"|"RM 582/mo"
"2020 Proton Persona Executive 1.6"|"50,965 km"|"Automatic"|"Melaka"|"39,900"|"RM 437/mo"
"2018 Perodua AXIA SE 1.0"|"44,482 km"|"Automatic"|"Selangor"|"34,500"|"RM 378/mo"
"2019 Proton Iriz Executive 1.6"|"51,900 km"|"Automatic"|"Selangor"|"37,500"|"RM 411/mo"
"2018 Proton Persona Standard 1.6"|"83,723 km"|"Automatic"|"Perak"|"32,800"|"RM 359/mo"
"2019 Perodua Bezza X Premium 1.3"|"63,056 km"|"Automatic"|"Negeri Sembilan"|"39,000"|"RM 427/mo"
"2018 Perodua Myvi AV 1.5"|"85,180 km"|"Automatic"|"Melaka"|"46,000"|"RM 504/mo"
"2021 Perodua Aruz AV 1.5"|"58,375 km"|"Automatic"|"Pahang"|"63,900"|"RM 700/mo"
"2017 Honda HR-V i-VTEC V 1.8"|"122,824 km"|"Automatic"|"Pulau Pinang"|"64,600"|"RM 708/mo"
"2012 Toyota Vios J 1.5"|"66,351 km"|"Automatic"|"Selangor"|"27,800"|"RM 305/mo"
"2015 Honda HR-V i-VTEC V 1.8"|"123,905 km"|"Automatic"|"Perak"|"53,400"|"RM 585/mo"
"2013 Toyota Estima Aeras 2.4"|"127,880 km"|"Automatic"|"Kuala Lumpur"|"86,800"|"RM 951/mo"
"2018 Perodua Alza SE 1.5"|"109,976 km"|"Automatic"|"Pahang"|"47,900"|"RM 525/mo"
"2016 Perodua Bezza X Premium 1.3"|"13,846 km"|"Manual"|"Pulau Pinang"|"28,800"|"RM 316/mo"
"2020 Proton Saga Premium 1.3"|"48,889 km"|"Automatic"|"Pahang"|"34,800"|"RM 381/mo"
"2018 Mazda CX-3 SKYACTIV GVC 2.0"|"53,189 km"|"Automatic"|"Pahang"|"79,800"|"RM 874/mo"
"2018 Honda CR-V TC VTEC 1.5"|"81,639 km"|"Automatic"|"Pulau Pinang"|"103,400"|"RM 1,133/mo"
"2022 Mitsubishi Triton VGT Athlete Dual Cab 2.4"|"31,777 km"|"Automatic"|"Kuala Lumpur"|"120,000"|"RM 1,315/mo"
"2013 Toyota Corolla Altis G 1.8"|"139,205 km"|"Automatic"|"Johor"|"33,400"|"RM 366/mo"
"2015 Lexus NX200t Premium 2.0"|"114,794 km"|"Automatic"|"Pulau Pinang"|"120,000"|"RM 1,315/mo"
"2018 Perodua AXIA SE 1.0"|"55,378 km"|"Automatic"|"Perak"|"34,500"|"RM 378/mo"
"2017 Perodua AXIA G 1.0"|"90,415 km"|"Automatic"|"Pulau Pinang"|"28,700"|"RM 315/mo"
"2015 Nissan Almera E 1.5"|"93,820 km"|"Automatic"|"Kuala Lumpur"|"28,800"|"RM 316/mo"
"2016 Perodua Bezza Advance Premium 1.3"|"121,577 km"|"Automatic"|"Selangor"|"36,500"|"RM 400/mo"
"2019 Kia Sportage GT Line 2.0"|"82,928 km"|"Automatic"|"Pulau Pinang"|"85,800"|"RM 940/mo"
"2016 Perodua Myvi SE 1.5"|"104,392 km"|"Automatic"|"Pahang"|"35,400"|"RM 388/mo"
"2019 Perodua Bezza Advance Premium 1.3"|"96,310 km"|"Automatic"|"Pahang"|"42,000"|"RM 460/mo"
"2015 Perodua Myvi Advance 1.5"|"149,376 km"|"Automatic"|"Melaka"|"32,800"|"RM 359/mo"
"2020 Perodua Bezza Advance 1.3"|"71,440 km"|"Automatic"|"Kuala Lumpur"|"47,000"|"RM 515/mo"
"2023 Proton Iriz Executive 1.6"|"12,738 km"|"Automatic"|"Pulau Pinang"|"46,000"|"RM 504/mo"
"2021 Mazda CX-5 SKYACTIV-G High 2.0"|"55,910 km"|"Automatic"|"Sarawak"|"123,500"|"RM 1,353/mo"
"2019 Nissan NV350 Urvan2.5"|"32,403 km"|"Manual"|"Pulau Pinang"|"125,500"|"RM 1,375/mo"
"2015 Honda HR-V i-VTEC S 1.8"|"88,451 km"|"Automatic"|"Sabah"|"43,900"|"RM 481/mo"
"2017 Honda City V i-VTEC 1.5"|"119,156 km"|"Automatic"|"Negeri Sembilan"|"60,300"|"RM 661/mo"
"2019 Perodua Myvi AV 1.5"|"67,700 km"|"Automatic"|"Pulau Pinang"|"47,800"|"RM 524/mo"
"2018 Kia Picanto EX 1.2"|"102,167 km"|"Automatic"|"Kuala Lumpur"|"34,900"|"RM 382/mo"
"2021 Perodua AXIA SE 1.0"|"44,582 km"|"Automatic"|"Johor"|"39,400"|"RM 432/mo"
"2015 Nissan Almera VL 1.5"|"103,934 km"|"Automatic"|"Pulau Pinang"|"28,800"|"RM 316/mo"
"2021 Proton X50 Premium 1.5"|"16,573 km"|"Automatic"|"Melaka"|"81,400"|"RM 892/mo"
"2019 Perodua AXIA G 1.0"|"45,826 km"|"Automatic"|"Selangor"|"33,200"|"RM 364/mo"
"2016 Perodua Alza EZ 1.5"|"93,928 km"|"Automatic"|"Negeri Sembilan"|"39,000"|"RM 427/mo"
"2012 Toyota Vios E 1.5"|"179,175 km"|"Automatic"|"Selangor"|"27,800"|"RM 305/mo"
"2015 Proton Preve CFE Premium 1.6"|"169,813 km"|"Automatic"|"Pahang"|"22,800"|"RM 250/mo"
"2017 Perodua Bezza X Premium 1.3"|"118,119 km"|"Automatic"|"Selangor"|"35,000"|"RM 384/mo"
"2018 Perodua Myvi AV 1.5"|"72,048 km"|"Automatic"|"Pulau Pinang"|"46,000"|"RM 504/mo"
"2020 Perodua Myvi AV 1.5"|"35,225 km"|"Automatic"|"Perak"|"50,800"|"RM 557/mo"
"2020 Toyota Alphard G SA Golden Eyes2.5"|"45,015 km"|"Automatic"|"Pulau Pinang"|"208,500"|"RM 2,285/mo"
"2019 Perodua AXIA GXtra 1.0"|"71,724 km"|"Automatic"|"Perak"|"33,500"|"RM 367/mo"
"2012 Toyota Camry G 2.0"|"158,597 km"|"Automatic"|"Kuala Lumpur"|"41,900"|"RM 459/mo"
"2017 Perodua AXIA SE 1.0"|"83,653 km"|"Automatic"|"Selangor"|"30,200"|"RM 331/mo"
"2016 Perodua Alza EZ 1.5"|"75,345 km"|"Automatic"|"Selangor"|"39,400"|"RM 432/mo"
"2019 Honda Jazz S i-VTEC 1.5"|"88,876 km"|"Automatic"|"Selangor"|"62,400"|"RM 684/mo"
"2016 Honda Jazz S i-VTEC 1.5"|"67,679 km"|"Automatic"|"Selangor"|"51,800"|"RM 568/mo"
"2019 BMW X1 sDrive20i Sport Line 2.0"|"59,604 km"|"Automatic"|"Kuala Lumpur"|"119,800"|"RM 1,313/mo"
"2018 Perodua Bezza Advance Premium 1.3"|"105,161 km"|"Automatic"|"Kuala Lumpur"|"40,600"|"RM 445/mo"
"2015 Perodua AXIA G 1.0"|"65,204 km"|"Automatic"|"Pulau Pinang"|"21,400"|"RM 235/mo"
"2019 Proton Saga Standard 1.3"|"67,452 km"|"Automatic"|"Selangor"|"31,500"|"RM 345/mo"
"2019 Honda Accord i-VTEC VTi-L 2.0"|"82,805 km"|"Automatic"|"Melaka"|"92,500"|"RM 1,014/mo"
"2019 Honda Jazz V i-VTEC 1.5"|"68,987 km"|"Automatic"|"Sarawak"|"64,900"|"RM 711/mo"
"2018 Perodua Bezza X Premium 1.3"|"93,944 km"|"Automatic"|"Pahang"|"37,600"|"RM 412/mo"
"2014 Mazda Biante SKYACTIV-G 2.0"|"112,685 km"|"Automatic"|"Selangor"|"47,400"|"RM 519/mo"
"2014 Honda Accord i-VTEC 2.4"|"123,518 km"|"Automatic"|"Selangor"|"50,000"|"RM 548/mo"
"2015 Honda HR-V i-VTEC V 1.8"|"119,147 km"|"Automatic"|"Pulau Pinang"|"53,700"|"RM 588/mo"
"2013 Perodua Myvi EZi 1.3"|"135,826 km"|"Automatic"|"Kuala Lumpur"|"21,800"|"RM 239/mo"
"2020 Honda HR-V i-VTEC E 1.8"|"48,306 km"|"Automatic"|"Negeri Sembilan"|"80,800"|"RM 885/mo"
"2015 Perodua AXIA G 1.0"|"152,618 km"|"Automatic"|"Selangor"|"21,400"|"RM 235/mo"
"2020 Perodua Myvi AV 1.5"|"62,653 km"|"Automatic"|"Selangor"|"50,800"|"RM 557/mo"
"2015 Proton Preve CFE Premium 1.6"|"164,699 km"|"Automatic"|"Kuala Lumpur"|"22,800"|"RM 250/mo"
"2015 Proton Iriz Executive 1.3"|"141,967 km"|"Automatic"|"Melaka"|"17,700"|"RM 194/mo"
"2019 Perodua Myvi AV 1.5"|"64,743 km"|"Automatic"|"Pulau Pinang"|"47,900"|"RM 525/mo"
"2018 Perodua Myvi X 1.3"|"96,829 km"|"Automatic"|"Selangor"|"39,900"|"RM 437/mo"
"2016 Perodua Bezza Advance Premium 1.3"|"64,800 km"|"Automatic"|"Selangor"|"37,400"|"RM 410/mo"
"2023 Perodua AXIA GXtra 1.0"|"10,078 km"|"Automatic"|"Selangor"|"37,000"|"RM 405/mo"
"2019 Perodua AXIA G 1.0"|"92,967 km"|"Automatic"|"Pahang"|"31,900"|"RM 350/mo"
"2014 Volkswagen Passat TSI 1.8"|"94,224 km"|"Automatic"|"Kuala Lumpur"|"29,400"|"RM 322/mo"
"2013 Nissan Almera VL 1.5"|"191,647 km"|"Automatic"|"Pahang"|"21,000"|"RM 230/mo"
"2016 Honda Jazz V i-VTEC 1.5"|"132,574 km"|"Automatic"|"Kuala Lumpur"|"55,900"|"RM 613/mo"
"2010 Honda CR-V i-VTEC 2.0"|"188,934 km"|"Automatic"|"Selangor"|"26,800"|"RM 294/mo"
"2017 Perodua Bezza X Premium 1.3"|"79,498 km"|"Automatic"|"Pahang"|"36,900"|"RM 404/mo"
"2019 Toyota Yaris E 1.5"|"60,712 km"|"Automatic"|"Kuala Lumpur"|"62,400"|"RM 684/mo"
"2017 Perodua Myvi G 1.3"|"72,320 km"|"Automatic"|"Kedah"|"36,900"|"RM 404/mo"
"2017 Perodua Bezza X Premium 1.3"|"80,863 km"|"Automatic"|"Kuala Lumpur"|"36,900"|"RM 404/mo"
"2016 Perodua AXIA G 1.0"|"125,277 km"|"Automatic"|"Negeri Sembilan"|"25,400"|"RM 278/mo"
"2017 Proton Saga Standard 1.3"|"71,401 km"|"Automatic"|"Selangor"|"27,300"|"RM 299/mo"
"2019 Perodua AXIA G 1.0"|"10,202 km"|"Automatic"|"Pulau Pinang"|"32,900"|"RM 361/mo"
"2013 Perodua Myvi EZi 1.3"|"147,082 km"|"Automatic"|"Kuala Lumpur"|"22,400"|"RM 245/mo"
"2015 Perodua Myvi X 1.3"|"150,161 km"|"Automatic"|"Kuala Lumpur"|"26,800"|"RM 294/mo"
"2019 Proton X70 TGDI Standard 1.8"|"92,455 km"|"Automatic"|"Kuala Lumpur"|"62,000"|"RM 679/mo"
"2016 Honda HR-V i-VTEC V 1.8"|"123,877 km"|"Automatic"|"Pulau Pinang"|"61,900"|"RM 678/mo"
"2023 Toyota Hilux GR Sport Dual Cab 2.8"|"15,197 km"|"Automatic"|"Johor"|"150,000"|"RM 1,644/mo"
"2016 Perodua Alza EZ 1.5"|"137,238 km"|"Automatic"|"Pahang"|"37,700"|"RM 413/mo"
"2021 Mazda CX-5 SKYACTIV-G Mid 2.0"|"39,019 km"|"Automatic"|"Selangor"|"113,900"|"RM 1,248/mo"
"2016 Nissan Grand Livina Comfort 1.8"|"113,620 km"|"Automatic"|"Perak"|"47,200"|"RM 517/mo"
"2018 Peugeot 3008 THP Allure 1.6"|"91,120 km"|"Automatic"|"Kuala Lumpur"|"70,400"|"RM 771/mo"
"2018 Perodua Bezza X Premium 1.3"|"77,481 km"|"Automatic"|"Pulau Pinang"|"38,100"|"RM 418/mo"
"2018 Subaru XV P 2.0"|"92,865 km"|"Automatic"|"Kuala Lumpur"|"71,000"|"RM 778/mo"
"2020 Perodua Myvi X 1.3"|"84,471 km"|"Automatic"|"Selangor"|"44,400"|"RM 487/mo"
"2014 Honda Accord i-VTEC 2.4"|"116,212 km"|"Automatic"|"Kuala Lumpur"|"50,900"|"RM 558/mo"
"2018 Toyota C-HR1.8"|"67,885 km"|"Automatic"|"Selangor"|"99,800"|"RM 1,094/mo"
"2015 Honda Civic S i-VTEC 2.0"|"167,321 km"|"Automatic"|"Selangor"|"48,900"|"RM 536/mo"
"2014 Perodua AXIA G 1.0"|"152,790 km"|"Automatic"|"Terengganu"|"20,400"|"RM 224/mo"
"2015 Perodua AXIA SE 1.0"|"70,246 km"|"Automatic"|"Kuala Lumpur"|"24,000"|"RM 263/mo"
"2016 Proton Persona Standard 1.6"|"92,185 km"|"Automatic"|"Kedah"|"29,800"|"RM 327/mo"
"2015 Honda HR-V i-VTEC V 1.8"|"118,397 km"|"Automatic"|"Selangor"|"53,900"|"RM 591/mo"
"2023 Toyota Yaris G 1.5"|"11,376 km"|"Automatic"|"Selangor"|"82,400"|"RM 903/mo"
"2018 Perodua Myvi AV 1.5"|"80,310 km"|"Automatic"|"Pulau Pinang"|"45,900"|"RM 503/mo"
"2018 Subaru XV P 2.0"|"93,433 km"|"Automatic"|"Kuala Lumpur"|"71,000"|"RM 778/mo"
"2017 Mitsubishi Outlander2.0"|"99,531 km"|"Automatic"|"Sabah"|"70,000"|"RM 767/mo"
"2018 Proton Preve CFE Executive 1.6"|"62,811 km"|"Automatic"|"Pulau Pinang"|"31,800"|"RM 348/mo"
"2013 Suzuki SX41.6"|"166,586 km"|"Automatic"|"Pahang"|"17,800"|"RM 195/mo"
"2015 Proton Preve Executive 1.6"|"148,917 km"|"Automatic"|"Melaka"|"21,800"|"RM 239/mo"
"2013 Toyota Vios TRD Sportivo 1.5"|"160,133 km"|"Automatic"|"Melaka"|"35,000"|"RM 384/mo"
"2018 Honda City E i-VTEC 1.5"|"75,037 km"|"Automatic"|"Johor"|"59,400"|"RM 651/mo"
"2016 Proton Saga Premium 1.3"|"95,707 km"|"Automatic"|"Pulau Pinang"|"26,500"|"RM 290/mo"
"2013 Perodua Alza EZ 1.5"|"202,411 km"|"Automatic"|"Kuala Lumpur"|"25,800"|"RM 283/mo"
"2013 Perodua Myvi SE 1.5"|"189,989 km"|"Automatic"|"Pulau Pinang"|"24,800"|"RM 272/mo"
"2014 Ford EcoSport Titanium 1.5"|"92,164 km"|"Automatic"|"Kuala Lumpur"|"22,900"|"RM 251/mo"
"2020 Perodua Myvi AV 1.5"|"58,498 km"|"Automatic"|"Kuala Lumpur"|"50,900"|"RM 558/mo"
"2015 Proton Iriz Standard 1.3"|"118,197 km"|"Automatic"|"Selangor"|"17,800"|"RM 195/mo"
"2015 Proton Iriz Executive 1.3"|"168,632 km"|"Automatic"|"Pulau Pinang"|"18,000"|"RM 197/mo"
"2011 Honda CR-V i-VTEC 2.0"|"202,973 km"|"Automatic"|"Pulau Pinang"|"27,400"|"RM 300/mo"
"2014 Nissan Almera V 1.5"|"110,800 km"|"Automatic"|"Selangor"|"23,900"|"RM 262/mo"
"2017 Toyota Sienta V 1.5"|"73,279 km"|"Automatic"|"Pulau Pinang"|"63,800"|"RM 699/mo"
"2017 Toyota Vios J 1.5"|"120,230 km"|"Automatic"|"Negeri Sembilan"|"50,400"|"RM 552/mo"
"2018 Perodua Alza Advance 1.5"|"86,566 km"|"Automatic"|"Kuala Lumpur"|"52,900"|"RM 580/mo"
"2008 Nissan Grand Livina Comfort 1.8"|"122,526 km"|"Automatic"|"Pahang"|"17,800"|"RM 195/mo"
"2017 Perodua Bezza G Standard 1.0"|"82,699 km"|"Automatic"|"Pahang"|"31,900"|"RM 350/mo"
"2016 Honda City E i-VTEC 1.5"|"137,621 km"|"Automatic"|"Johor"|"48,000"|"RM 526/mo"
"2020 Honda Jazz S i-VTEC 1.5"|"57,362 km"|"Automatic"|"Kuala Lumpur"|"64,900"|"RM 711/mo"
"2017 Perodua Bezza Advance Premium 1.3"|"75,539 km"|"Automatic"|"Pulau Pinang"|"37,900"|"RM 415/mo"
"2017 Perodua AXIA G 1.0"|"96,390 km"|"Automatic"|"Pulau Pinang"|"28,300"|"RM 310/mo"
"2018 Perodua AXIA SE 1.0"|"62,928 km"|"Automatic"|"Selangor"|"34,500"|"RM 378/mo"
"2019 Mazda CX-5 SKYACTIV-G High 2.0"|"77,414 km"|"Automatic"|"Pulau Pinang"|"113,800"|"RM 1,247/mo"
"2008 Honda Accord i-VTEC VTi 2.0"|"133,135 km"|"Automatic"|"Kuala Lumpur"|"21,900"|"RM 240/mo"
"2014 Peugeot 208 Allure 1.6"|"102,329 km"|"Automatic"|"Selangor"|"17,900"|"RM 196/mo"
"2013 Perodua Myvi SE 1.3"|"167,590 km"|"Automatic"|"Selangor"|"22,400"|"RM 245/mo"
"2016 Perodua Bezza X Premium 1.3"|"145,702 km"|"Automatic"|"Selangor"|"33,400"|"RM 366/mo"
"2017 Perodua AXIA Advance 1.0"|"116,424 km"|"Automatic"|"Negeri Sembilan"|"32,900"|"RM 361/mo"
"2015 Toyota Estima Aeras 2.4"|"140,743 km"|"Automatic"|"Pulau Pinang"|"107,600"|"RM 1,179/mo"
"2019 Perodua Myvi AV 1.5"|"72,115 km"|"Automatic"|"Pahang"|"47,900"|"RM 525/mo"
"2015 Proton Iriz Premium 1.6"|"163,267 km"|"Automatic"|"Selangor"|"21,900"|"RM 240/mo"
"2019 Proton Iriz Executive 1.3"|"19,145 km"|"Automatic"|"Kedah"|"32,400"|"RM 355/mo"
"2017 Perodua Myvi SE 1.5"|"107,278 km"|"Automatic"|"Pahang"|"38,400"|"RM 421/mo"
